elapsed_s,latency_s,msg_count,version
23,53.92585772312539,63271,KDI
24,41.138475454594136,18313,KDI
25,103.75773298350268,6670,KDI
26,28.39593731232758,24311,KDI
27,28.691260393168022,3103,KDI
28,21.879783994794934,1537,KDI
29,26.779296740674862,26754,KDI
30,30.088294438287377,33389,KDI
31,39.11813511542402,31536,KDI
32,42.56375041001413,29877,KDI
33,88.96240736022995,7065,KDI
34,66.85441841541781,30355,KDI
35,56.15219154898506,45320,KDI
36,82.99938912957877,5078,KDI
37,71.8288133595291,1018,KDI
38,65.16712827768431,15903,KDI
39,49.333703572671816,17242,KDI
40,66.346644736842,3496,KDI
41,38.91677783310756,14057,KDI
42,38.73930300814612,47870,KDI
43,27.36644420570122,6981,KDI
44,51.40185974097152,40304,KDI
45,62.87538409986049,51031,KDI
46,69.08922804695717,34756,KDI
47,80.22430781373336,1267,KDI
